Feature,Importance
Spa,14.529455898030166
VRDeck,12.744084370332889
RoomService,10.632473893145152
Age,9.658415733914062
CryoSleep_True,9.185736699955156
FoodCourt,9.175288500987492
HomePlanet_Europa,8.188258165539548
HomePlanet_Mars,6.104962496284424
ShoppingMall,5.401966826221599
Cabin_E,3.1806776996667994
Cabin_F,3.1063087587017932
Cabin_G,2.865467038520391
Destination_TRAPPIST-1e,2.1266192290479706
Cabin_C,1.5507234500910543
Destination_PSO J318.5-22,0.5550097254514151
Cabin_B,0.5543485454026114
VIP_True,0.22192774928498196
Cabin_D,0.21714616029631395
Cabin_T,0.0011290591262079234
