iter	Accuracy	Logloss
100	0.8662237048	0.286427049
101	0.8662544409	0.2862452418
102	0.8663900415	0.2860513009
103	0.8664045056	0.2859119318
104	0.86650033	0.285769435
105	0.8666088104	0.2855962918
106	0.8666738987	0.2854482382
107	0.866755259	0.2852909696
108	0.8668330034	0.2851481637
109	0.8669215957	0.2850327156
110	0.8670553883	0.2849397142
111	0.8671385567	0.2848187266
112	0.8671674848	0.2846387085
113	0.8673500936	0.2844110605
114	0.8674929262	0.2842222147
115	0.8674911182	0.284128472
116	0.8676140627	0.2839663416
117	0.8677442392	0.283800563
118	0.8678039035	0.2836421246
119	0.8679612002	0.2835029904
120	0.8680100164	0.2833515703
121	0.8680479845	0.2831803107
122	0.8680732966	0.2830284051
123	0.8681329609	0.2829299333
124	0.8682432494	0.2828128351
125	0.8682884495	0.2826241634
126	0.8683607698	0.2825005441
127	0.8685198745	0.2823008414
128	0.8685072185	0.2821683997
129	0.8685524187	0.2820604573
130	0.8685994269	0.2819305614
131	0.8686735552	0.2817595609
132	0.8687711876	0.2816197605
133	0.8688453159	0.2814438638
134	0.8690586608	0.2811877915
135	0.8692051094	0.2809620846
136	0.8692937018	0.2808333053
137	0.869328054	0.2807133657
138	0.8694238784	0.2805560892
139	0.8694311104	0.2803533086
140	0.869566711	0.2801906934
141	0.8696896555	0.2799904453
142	0.8697294317	0.2798993911
143	0.8697854799	0.279798353
144	0.8699463926	0.279605247
145	0.8700856092	0.2794381071
146	0.8702302498	0.2792243286
147	0.8703333062	0.2791081507
148	0.8703712744	0.2790140184
149	0.8704833708	0.2789014646
150	0.8706262035	0.2787212584
151	0.870752764	0.2786210782
152	0.8709028286	0.2784478738
153	0.8710040771	0.2782040412
154	0.8712029579	0.2779629761
155	0.8712535821	0.2778229489
156	0.871235502	0.2777734754
157	0.8712825102	0.2776537562
158	0.8713331345	0.2774914573
159	0.8713656786	0.2773957156
160	0.871470543	0.2772196128
161	0.8715681754	0.2770552303
162	0.8716441118	0.2769276786
163	0.8717327041	0.2767874927
164	0.8718466086	0.2766927787
165	0.8719044649	0.2765572207
166	0.8719496651	0.2764109763
167	0.8720111373	0.2763467791
168	0.8720852656	0.276142303
169	0.8721467379	0.2760532104
170	0.87217205	0.2759545839
171	0.8722913785	0.2757796435
172	0.8723600828	0.2756446254
173	0.8724739873	0.2754954846
174	0.8725191875	0.275395613
175	0.8726855242	0.275235469
176	0.8727560365	0.2751002137
177	0.8727994287	0.2750408779
178	0.8728590929	0.2749627313
179	0.8729151412	0.2748157686
180	0.8729928855	0.2747121348
181	0.8730109656	0.2746178856
182	0.8730706298	0.2745465227
183	0.8730905179	0.2744944284
184	0.8732026144	0.2743077824
185	0.8732206945	0.2742302094
186	0.8733273669	0.274096687
187	0.8733960712	0.273931286
188	0.8735479438	0.2737550146
189	0.8736708884	0.2735640292
190	0.8736962005	0.2734771403
191	0.8737956409	0.2733956014
192	0.8738896573	0.2733041847
193	0.8738896573	0.273238235
194	0.8739113534	0.273151545
195	0.8739692096	0.2730588296
196	0.8741192743	0.2728854056
197	0.8742277547	0.2727446189
198	0.8742060586	0.2726818881
199	0.8743850514	0.2725632232
200	0.8743796274	0.2724521772
201	0.8744808758	0.2722994538
202	0.874536924	0.27216635
203	0.8745586201	0.2720677248
204	0.8746743326	0.2718821884
205	0.8747285728	0.2717877894
206	0.8748117412	0.271646719
207	0.8748967176	0.2715449842
208	0.8749509578	0.2714202555
209	0.874990734	0.2713264811
210	0.8750757103	0.2712387169
211	0.8751751507	0.2710786524
212	0.8752727832	0.2709162266
213	0.8753451035	0.2708645322
214	0.8753432955	0.2707783696
215	0.8754571999	0.2706135666
216	0.875478896	0.2705762403
217	0.8755168642	0.2705294075
218	0.8755873765	0.2704304869
219	0.875704897	0.270275417
220	0.8757645612	0.2701953056
221	0.8758640017	0.2700995306
222	0.8759290899	0.2700394422
223	0.87593813	0.2699637582
224	0.8759634421	0.2699141441
225	0.8760574585	0.2698045076
226	0.8761352028	0.2697083544
227	0.8761243548	0.2696306224
228	0.876167747	0.2695580435
229	0.8762219872	0.2695098451
230	0.8762744194	0.2694038553
231	0.8762852674	0.2693532461
232	0.8763955559	0.2692018739
233	0.8764371401	0.269141523
234	0.8764497961	0.2690799127
235	0.8764968043	0.269001663
236	0.8766052848	0.2689073601
237	0.876652293	0.268811866
238	0.8766920692	0.2687424989
239	0.8768005496	0.2685557205
240	0.8768602139	0.2685046739
241	0.876885526	0.2684183156
242	0.8769885824	0.2683288022
243	0.8769686943	0.2682585649
244	0.8770229346	0.2681498378
245	0.877129607	0.2680739594
246	0.8773104078	0.267862324
247	0.8774152722	0.2677315624
248	0.8774044242	0.2676732965
249	0.8774333523	0.267599278
250	0.8775400248	0.2674764538
251	0.877587033	0.2673837979
252	0.8776087291	0.2673104656
253	0.8776340412	0.2672464642
254	0.8777226335	0.2671104777
255	0.8777461376	0.2670122938
256	0.877841962	0.2668665908
257	0.8778835462	0.2668061671
258	0.8779269384	0.2666682165
259	0.8780064907	0.2665649969
260	0.8780824271	0.2663998254
261	0.8781547474	0.2662931125
262	0.8781981396	0.2662454467
263	0.8782686519	0.2661816437
264	0.8782831159	0.2661306113
265	0.8783156601	0.2660767647
266	0.8783843643	0.2659668773
267	0.8785127329	0.2658078216
268	0.8785886692	0.2656376165
269	0.8786284454	0.265565497
270	0.8786302534	0.2654854426
271	0.8787441579	0.2653408849
272	0.8788291342	0.2651968762
273	0.8788327503	0.2651346798
274	0.8788779504	0.2650374388
275	0.8789231506	0.2649175571
276	0.8789303827	0.2648467964
277	0.8789864309	0.2647581548
278	0.8790840633	0.264627709
279	0.8791292635	0.264549726
280	0.8792015838	0.2644650995
281	0.879252208	0.2643924131
282	0.8792901762	0.2643308989
283	0.8793444164	0.2641962981
284	0.8793896166	0.2640914441
285	0.8794492809	0.2639683259
286	0.879478209	0.2639207393
287	0.8795197932	0.2638559032
288	0.8796192336	0.2637252951
289	0.8796843219	0.2636473577
290	0.8796915539	0.2635958122
291	0.8798181144	0.2634450733
292	0.8798615066	0.2633216623
293	0.879941059	0.2631827136
294	0.8799736031	0.2631172273
295	0.8800459234	0.2630471107
296	0.8801363238	0.2629493664
297	0.8801580199	0.2628781143
298	0.8801760999	0.2628247458
299	0.8802213001	0.2627613348
300	0.8802267242	0.2627271059
301	0.8802863884	0.2626721847
302	0.8802845804	0.2626233383
303	0.8803587087	0.2625252517
304	0.8804002929	0.2624507635
305	0.8804454931	0.2623312634
306	0.8804689972	0.262262224
307	0.8805395095	0.2621499281
308	0.8806082138	0.2620559571
309	0.8806425659	0.2619814167
310	0.8807004222	0.2618805112
311	0.8808161347	0.2617127745
312	0.8808595268	0.2616470811
313	0.880897495	0.2615504946
314	0.8810511757	0.2614058129
315	0.8811542321	0.2613030921
316	0.8812717526	0.2611576562
317	0.8813187608	0.2610804363
318	0.881363961	0.260994912
319	0.8813928891	0.2609515286
320	0.8814561694	0.2608839254
321	0.8815104096	0.2607790702
322	0.8815845379	0.2606998313
323	0.8815791139	0.2606123731
324	0.8816478182	0.2605156775
325	0.8817165225	0.260430513
326	0.8817074824	0.2603697232
327	0.8818159629	0.2602374392
328	0.881843083	0.260172548
329	0.8818738191	0.2600961727
330	0.8819009393	0.2600212579
331	0.8819533715	0.2599736416
332	0.8820166518	0.2598538501
333	0.8820329238	0.2597818945
334	0.8820943961	0.2597221122
335	0.8821052441	0.2596668618
336	0.8820980121	0.2596116572
337	0.8821197082	0.2595574054
338	0.8821829885	0.2595005092
339	0.8822281886	0.2594360218
340	0.8822426527	0.2593906471
341	0.882300509	0.2592596262
342	0.8823384771	0.259195093
343	0.8823384771	0.2591391668
344	0.8823746373	0.2590761723
345	0.8823728293	0.2590371386
346	0.8824578056	0.2589456481
347	0.8824813097	0.2588955534
348	0.8824740777	0.2588536892
349	0.8825644781	0.2587360734
350	0.8825915982	0.2586745921
351	0.8826530704	0.2586036954
352	0.8827362388	0.2585265303
353	0.8828320632	0.2584513022
354	0.8828483353	0.2584052702
355	0.8828790714	0.2583353151
356	0.8828790714	0.2582853463
357	0.8828899195	0.2582441352
358	0.8829423517	0.2581771565
359	0.8829622398	0.258144606
360	0.8830779523	0.257997359
361	0.8831068804	0.2579537371
362	0.8831520806	0.2578545161
363	0.8831918567	0.2578042138
364	0.8831773927	0.2577603696
365	0.8831972808	0.2577297658
366	0.883264177	0.2576379999
367	0.883253329	0.2576031864
368	0.8832840651	0.257564853
369	0.8833075692	0.2575316035
370	0.8833148013	0.2574908746
371	0.8833690415	0.2573752654
372	0.8834467858	0.2573090261
373	0.8834630579	0.2572663392
374	0.88347933	0.2571846397
375	0.8835299542	0.257119596
376	0.8835353782	0.2570749262
377	0.8835552663	0.2570200231
378	0.8836040825	0.2569327356
379	0.8836709788	0.256819181
380	0.8837035229	0.2567745702
381	0.8837017149	0.256743861
382	0.883732451	0.2566674268
383	0.8837414911	0.2566147405
384	0.8837903073	0.2565450865
385	0.8838174274	0.2564984329
386	0.8838590116	0.2564664379
387	0.8839005957	0.2564277046
388	0.8840000362	0.2563129404
389	0.8841428688	0.2561795555
390	0.8841555248	0.2561165262
391	0.8842151891	0.2560327428
392	0.8842640053	0.2559825508
393	0.8843290936	0.2559014109
394	0.8843652537	0.2558369267
395	0.884444806	0.2557348932
396	0.8845098943	0.2556626456
397	0.8845569025	0.2555931721
398	0.8846256068	0.2555399832
399	0.8846454949	0.2554838594
400	0.884659959	0.2554208474
401	0.8846888871	0.255349607
402	0.8847756714	0.2552340433
403	0.8847955595	0.2551927722
404	0.8848208716	0.2551278233
405	0.8848660718	0.2550929366
406	0.8848497998	0.255062327
407	0.8848588398	0.2550336864
408	0.8848624558	0.2549674873
409	0.8848859599	0.2549284365
410	0.884907656	0.254859576
411	0.8849203121	0.2548306888
412	0.88491308	0.2547816979
413	0.8849799763	0.2546897645
414	0.8850251765	0.2546352061
415	0.8850649527	0.2545758981
