iter	Passed	Remaining
398	101760	25758
399	102039	25509
400	102326	25262
401	102607	25013
402	102893	24765
403	103161	24513
404	103426	24260
405	103703	24010
406	103975	23758
407	104230	23502
408	104515	23254
409	104808	23006
410	105071	22752
411	105359	22504
412	105609	22247
413	105883	21995
414	106157	21743
415	106441	21493
416	106722	21242
417	107012	20992
418	107273	20737
419	107522	20480
420	107818	20232
421	108104	19981
422	108384	19729
423	108654	19475
424	108911	19219
425	109176	18964
426	109428	18707
427	109710	18455
428	109975	18201
429	110265	17950
430	110533	17695
431	110818	17443
432	111110	17192
433	111396	16940
434	111670	16686
435	111941	16431
436	112211	16176
437	112490	15923
438	112789	15672
439	113091	15421
440	113376	15168
441	113671	14916
442	113955	14662
443	114234	14407
444	114519	14154
445	114840	13904
446	115133	13651
447	115403	13395
448	115680	13139
449	115976	12886
450	116244	12629
451	116525	12374
452	116816	12120
453	117114	11866
454	117423	11613
455	117714	11358
456	118000	11102
457	118284	10847
458	118570	10591
459	118839	10333
460	119145	10079
461	119420	9822
462	119718	9567
463	120026	9312
464	120325	9056
465	120598	8799
466	120889	8542
467	121168	8285
468	121441	8027
469	121728	7769
470	122020	7512
471	122328	7256
472	122624	6999
473	122905	6741
474	123212	6484
475	123526	6228
476	123803	5969
477	124069	5710
478	124339	5451
479	124604	5191
480	124891	4933
481	125179	4674
482	125469	4416
483	125797	4158
484	126089	3899
485	126379	3640
486	126649	3380
487	126967	3122
488	127247	2862
489	127544	2602
490	127837	2343
491	128123	2083
492	128424	1823
493	128716	1563
494	129004	1303
495	129301	1042
496	129598	782
497	129882	521
498	130177	260
499	130460	0
